Hypnosis,,,--,Scene x2,6,"4, 1 Target",The target falls Asleep.,Smart - Excitement,Status,Psychic,,,,,,,,,,
Imprison,,,--,Scene x2,--,"10, 1 Target",The target is Locked for the rest of the Scene. A Locked target may not use any Moves the user knows. Imprison cannot miss.,Smart -  Good Show!,Status,Psychic,,,,,,,,,,
Instruct,,,--,Scene x2,--,"Melee, 1 Target","The target immediately reuses the attack it performed last, ignoring frequency, as a Free Action. They may choose new targets for the copied attack. Instruct may not be used if the Target’s last Move was a Set-Up Move, a Trigger Move, or Instruct, or if the Target is currently affected by Exhaust.",--,Status,Psychic,,,,,,,,,,
Kinesis,,,--,Scene,--,"6, 1 Target, Trigger, Interrupt","If the user or an Ally within 6 meters is about to be hit by an attack, the user may use Kinesis as an interrupt. The triggering Accuracy Roll receives a -4 penalty. This may cause Moves to miss.",Smart - Get Ready!,Status,Psychic,,,,,,,,,,
Light Screen,,,--,Scene,--,Blessing,"Blessing – Any user affected by Light Screen may activate it when receiving Special Damage to resist the Damage one step. Light Screen may be activated 2 times, and then disappears.",Beauty - Sabotage,Status,Psychic,,,,,,,,,,
Lunar Blessing,,,--,Daily,--,Self,"The user regains hit points equal to 50% of its Hit Point total, cures all of its Status conditions, and gains +2 Evasion.",Beauty - Reflective Appeal,Status,Psychic,,,,,,,,,,
Lunar Dance,,,--,Daily,--,8,"The user immediately Faints, lowering its Hit Points to 0. The user takes no Injuries from Hit Point Markers when using Lunar Dance. The target is immediately cured of up to 3 injuries, healed to their Maximum Hit Points, and has the Frequency of all Moves restored. Lunar Dance may target a Pokémon in a Poké Ball. Lunar Dance does not restore the Frequency of Healing Wish or Lunar Dance. Injuries healed through Lunar Dance count toward the total number of Injuries that can be healed each day, and this healing is limited by the same.",Beauty - Safe Option,Status,Psychic,,,,,,,,,,
Luster Purge,,,7,Scene x2,2,"8, 1 Target",Luster Purge lowers the target's Special Defense by -1 CS on an Even-Numbered Roll.,Smart - Seen Nothing Yet,Special,Psychic,o,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Magic Coat,,,--,Daily,--,"4, Interrupt, Trigger","If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Interrupt. The Interrupted Move’s user is treated as if they were the target of their own Move, with the user of Magic Coat as the user.",Beauty - Double Time,Status,Psychic,,,,,,,,,,
Magic Powder,,,--,Daily,2,"5, 1 Target",The target gains the Psychic Type in addition to its other Types for 5 turns.,Smart - Safe Option,Status,Psychic,,,,,,,,,,
Magic Room,,,--,Daily x2,--,Field,"The area becomes Useless for 5 rounds. While Useless, Pokémon may not benefit from the effects of any Held Items, and Trainers cannot benefit from any Accessory-Slot equipment. This does not affect consumable or activated items, only Items with Static effects or Triggers.",Cute - Tease,Status,Psychic,,,,,,,,,,
Meditate,,,--,At-Will,--,Self,Raise the user’s Attack 1 Combat Stage.,Beauty - Get Ready!,Status,Psychic,,,,,,,,,,
Miracle Eye,,,--,Scene x2,--,"Self, Swift Action","Miracle Eye may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Psychic-Type Moves can hit and affect Dark-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",Cute -  Good Show!,Status,Psychic,,,,,,,,,,
Mirror Coat,,,--,Scene x2,--,"Any, 1 Target, Reaction","Mirror Coat may be used as a Reaction when the user is hit by a damaging Special Attack. Resolve the Triggering Attack, with Mirror Coat’s user resisting the attack one step further. After the attack is resolved, if Mirror Coat’s user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Mirror Coat is Special, and while it cannot miss, it cannot hit targets immune to Psychic-Type Moves.",Beauty - Double Time,Status,Psychic,,,,,,,,,,
Mist Ball,,,7,Scene x2,2,"12, 1 Target",Mist Ball lowers the target’s Special Attack by 1 Combat Stage on an Even-Numbered Roll.,Smart - Seen Nothing Yet,Special,Psychic,o,,,,,,,,,
Mystical Power,,,7,Scene x2,4,"6, 2 Targets, Spirit Surge",The user receives +1 Combat Stage in their highest non-HP stat.,Smart - Get Ready!,Special,Psychic,o,,,,,,,,,
Photon Geyser,,,10,Scene,2,Burst 2,"This attack uses the highest of the user’s Attack or Special Attack Stat, though it remains a Special Move. This Move ignores any Abilities that would cause it to fail or miss, such as Dodge or Wonder Guard; those Abilities cannot be activated in response to Photon Geyser.",--,Special,Psychic,o,,,,,,,,,
Power Split,,,--,Scene,--,"Melee, 1 Target","The target has their Attack and Special Attack lowered by 5. If they do, the user gains a +5 bonus to Damage Rolls. These effects last until the end of the scene.",Beauty - Inversed Appeal,Status,Psychic,,o,,,,,,,,
Power Swap,,,--,Scene,--,"Melee, 1 Target","The user and the target trade Combat Stage values for the Attack Stat, and then for the Special Attack Stat.",Beauty - Inversed Appeal,Status,Psychic,,o,,,,,,,,
Power Trick,,,--,Scene,--,Self,"The user's Attack stat and Defense stat are switched for the remainder of the encounter, or until the user is switched out or Fainted.",Cool - Inversed Appeal,Status,Psychic,,,,,,,,,,
Prismatic Laser,,,16,Daily x2,4,"Line 8, Smite, Exhaust",--,--,Special,Psychic,,,,,,,,,,o
Psybeam,,,7,At-Will,2,"6, 1 Target",Psybeam Confuses the target on 19+.,Beauty - Exhausting Act,Special,Psychic,o,,,,,,,,,
Psychic,,,9,EOT,2,"5, 1 Target, Push",The target is Pushed 1 meter in any direction. Psychic lowers the target’s Special Defense 1 Combat Stage on 17+.  Grants Telekinetic.,Smart - Exhausting Act,Special,Psychic,o,,,,,,,,,
Psyshield Bash,,,7,EOT,4,"Melee, 1 Target",The user gains +5 DR for one full round.,Smart - Good Show,Physical,Psychic,o,o,,,,,,,,
Psychic Fangs,,,9,EOT,2,"Melee, 1 Target","Light Screen, Reflect and Aurora Veil cannot be declared in response to Psychic Fangs.",--,Physical,Psychic,,o,,,,,,,,
Psychic Terrain,,,--,Daily x2,--,Field,"The Field becomes Weird for five rounds. While the Field is Weird, non-Flying and non- Levitating Pokemon cannot declare Priority or Interrupt Moves outside their own Initiatives. Damaging Psychic-Type attacks deal an additional 10 damage.",--,Status,Psychic,,,,,,,,,,
Psycho Boost,,,14,Scene,4,"8, Ranged Blast 3, Smite",Lower the user's Special Attack by -2 Combat Stages after damage is resolved.,Smart - Seen Nothing Yet,Special,Psychic,,,,,,,,,,o
Psycho Cut,,,7,EOT,2,"6, 1 Target",Psycho Cut is a Critical Hit on 18+.,Cool - Exhausting Act,Physical,Psychic,,,,,,,,,,
Psycho Shift,,,--,Scene,--,"Melee, 1 Target",The user is cured of a Status ailment and the target is given that Status ailment. Psycho Shift cannot miss. Psycho Shift can only be used if the user has a Status ailment and the target does not have the status ailment that is being transferred.,Cool - Inversed Appeal,Status,Psychic,,o,,,,,,,,
Psyshock,,,8,At-Will,2,"4, 1 Target","When calculating damage, the target subtracts their Defense from Psyshock's damage instead of their Special Defense. Psyshock is still otherwise Special (Special Evasion is used to avoid it, Mirror Coat can reflect it, etc.)",Smart - Incentives,Special,Psychic,,,,,,,,,,
Psystrike,,,10,EOT,2,"4, 1 Target"," When calculating damage, the target subtracts their Defense from Psystrike's damage instead of their Special Defense. Psystrike is still otherwise Special (Special Evasion is used to avoid it, Mirror Coat can reflect it, etc.)",Smart - Incentives,Special,Psychic,,,,,,,,,,
Psywave,,,See Effect,Scene,5,"6, 1 Target","Roll 1d4; on 1 the target loses HP equal to half the user's Level; on 2 the target loses HP equal to the user's Level; on 3 the target loses HP equal to 1.5x the user's level; on 4 the target loses HP equal to the user's Level doubled. Do not apply weakness or resistance, and do not apply Stats. Do apply Immunity.",Smart - Steady Performance,Special,Psychic,,,,,,,,,,
Reflect,,,--,Scene,--,Blessing,"Blessing – Any user affected by Reflect may activate it when receiving Physical Damage to resist the Damage one step. Reflect may be activated 2 times, and then disappears.",Smart - Excitement,Status,Psychic,,,,,,,,,,
Rest,,,--,Scene,--,"Self, Healing","The user is set to their full Hit Point value. The user is cured of any Status ailments. Then, the user falls Asleep. The user cannot make Sleep Checks at the beginning of their turn. They are cured of the Sleep at the end of their turn in 2 rounds.",Cute - Reflective Appeal,Status,Psychic,,,,,,,,,,
Role Play,,,--,Daily,--,"Melee, 1 Target","The user gains one of the target's Abilities, chosen at random, for the remainder of the encounter. This effect ends if the user Faints or is switched out. Role Play cannot miss.",Cute -  Catching Up,Status,Psychic,,o,,,,,,,,
Skill Swap,,,--,Scene,--,"Melee, 1 Target","The user loses one of their Abilities, selected by the user, and gains one the target’s Abilities, selected at random, for the remainder of encounter. The target loses the copied Ability, and gains the user’s lost Ability. This effect ends if either the target or the user is Switched out or Fainted, but only for that Pokémon or Trainer.",Smart - Excitement,Status,Psychic,,o,,,,,,,,
Speed Swap,,,--,Scene,2,"Melee, 1 Target",The user and the target trade Initiative values.,--,Status,Psychic,,,,,,,,,,
Stored Power,,,2,EOT,2,"10, 1 Target","For every Combat Stage the user has above 0, add +2 to Stored Power’s Damage Base, up to a maximum of Damage Base 20.",Tough - Incentives,Special,Psychic,,,o,,,,,,,
Synchronoise,,,12,Scene x2,2,Burst 3,Synchronoise can only hit targets that share a type with Synchronoise's user.,Smart - Incentives,Special,Psychic,,,,,,,,,,
Take Heart,,,--,Daily x2,--,Self,The user gains +1 CS in all its stats and cures all of its Status conditions.,Beauty - Reflective Appeal,Status,Psychic,,,,,,,,,,
Telekinesis,,,--,Scene x2,--,"4, 1 Target","The target becomes Lifted. While Lifted, they gain the Levitate Ability, are Slowed, and lose all Movement Capabilities except for the Levitate 4 granted by Levitate (reduced to 2 by the Slow condition). While Lifted, the user may not apply any Evasion bonuses to determine whether they are hit by Moves or not. The Lifted target may use a Shift Action to roll 1d20; on a result of 16+, they stop being Lifted. *Grants Telekinetic",Smart - Steady Performance,Status,Psychic,,,,,,,,,,
Teleport,,,--,Scene,--,"Self, Interrupt","The user Teleports up to X meters, where X is its Teleporter Capability. Any Move that targeted Teleport's user continue through the desired target's space if the Move allows for it as if the user hadn't been there; single target moves simply miss. *Grants Teleporter 4",Cool - Saving Grace,Status,Psychic,,,,,,,,,,
Trick,,,--,Scene,2,"5, 2 Targets","Both targets must be hit for Trick to succeed. The user may target itself or willing allies with Trick; you do not need to roll for Accuracy Check in these cases. Both targets lose their Held Item and gain the other target's Held Item. If a target has no Held Item, they still can gain the other target's Held Item.",Smart - Attention Grabber,Status,Psychic,,,,,,,,,,
Trick Room,,,--,Daily x2,--,Field,"Starting at the beginning of the next round, for 5 rounds, the area is considered Rewinding. While Rewinding, Initiative is reversed, and participants instead go from lowest Initiative to highest.",Cute - Tease,Status,Psychic,,,,,,,,,,
Wonder Room,,,--,Daily x2,--,Field,"For 5 rounds, the area is considered Wondered. While Wondered, each individual Pokémon's Defense and Special Defense are switched.",Cute - Tease,Status,Psychic,,,,,,,,,,
Zen Headbutt,,,8,EOT,4,"Melee, 1 Target, Dash",Zen Headbutt Flinches the target on 15+.,Beauty - Desperation,Physical,Psychic,o,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Accelerock,,,4,At-Will,2,"Melee, 1 Target, Priority",--,--,Physical,Rock,,o,o,,,,,,,
Ancient Power,,,6,EOT,2,"6, 1 Target, Spirit Surge",The user has each of its stats raised by +1 CS on 19+.,Tough - Desperation,Special,Rock,o,,o,,,,,,,
Diamond Storm,,,10,Scene,3,"Close Blast 3, Friendly, Smite",Diamond Storm raises the User’s Defense by +1 CS on an Even-Numbered Roll.,Beauty - Seen Nothing Yet,Physical,Rock,o,,,,,,,,,
Head Smash,,,15,Scene,5,"Melee, 1 Target, Dash, Push, Recoil 1/3",The target is pushed 2 meters.,Tough - Seen Nothing Yet,Physical,Rock,,o,,o,,,,,,o
Meteor Beam,,,12,Scene x2,4,"Cone 3, Smite","Set-Up Effect: The user’s Special Attack is raised by by +1 Combat Stage. 
Resolution Effect: The user attacks with Meteor Beam.",Tough - Special Attention,Special,Rock,,,,,,,,,,
Power Gem,,,8,At-Will,2,"6, 1 Target",--,Beauty - Steady Performance,Special,Rock,,,,,,,,,,
Rock Blast,,,3,EOT,5,"6, 1 Target, Five Strike",*Grants Materializer,Tough - Reliable,Physical,Rock,,,o,,,,,,,
Rock Polish,,,--,EOT,--,Self,Raise the user's Speed by +2 CS.,Tough - Exhausting Act,Status,Rock,,,,,,,,,,
Rock Slide,,,8,Scene x2,4,"6, Ranged Blast 3",Rock Slide Flinches all legal targets on 17+.,Tough - Steady Performance,Physical,Rock,o,,,,,,,,,
Rock Throw,,,5,At-Will,4,"6, 1 Target",--,Tough - Steady Performance,Physical,Rock,,,o,,,,,,,
Rock Tomb,,,6,At-Will,5,"6, 1 Target",Rock Tomb lowers the target's Speed by -1 CS. *Grants Materializer,Smart - Desperation,Physical,Rock,,,o,,,,,,,
Rock Wrecker,,,15,Daily x2,4,"Melee, 1 Target, Dash, Exhaust, Smite",*Grants Materializer,Tough - Seen Nothing Yet,Physical,Rock,,o,,,,,,,,o
Rollout,,,3,At-Will,4,"Melee, Pass","The user continues to use Rollout on each of its turns until they miss any target with Rollout, or are not able to hit any target with Rollout during their turn. Each successive use of Rollout increases Rollout’s Damage Base by +4 to a maximum of DB 15.",Tough - Reliable,Physical,Rock,,o,o,,,,,,,
Sandstorm,,,--,Daily x2,--,"Field, Weather","The weather changes to a Sandstorm for 5 rounds. While it is Sandstorming, all non-Ground, Rock, or Steel Type Pokémon lose a Tick of Hit Points at the beginning of their turn.",Tough - Sabotage,Status,Rock,,,,,,,,,,
Smack Down,,,5,Scene x2,2,"8, 1 Target","The target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",Tough - Steady Performance,Physical,Rock,,,o,,,,,,,
Stealth Rock,,,--,Scene,--,"Field, Hazard","Set 4 square meters of Stealth Rock hazards within 6 meters. If a foe moves within 2 meters of a space occupied by Rocks, move at most one Rock to the offender, then destroy the Rock. When that happens, the Stealth Rock causes a foe to lose a Tick of Hit Points. Stealth Rock is considered to be dealing damage; Apply Weakness and Resistance. Do not apply stats. A Pokémon who has been hit by a Stealth Rock Hazard cannot get hit by another in the same encounter until it is returned to a Poké Ball and then sent back out. *Grants Materializer",Cool - Sabotage,Status,Rock,,,,,,,,,,
Stone Axe,,,7,EOT,4,"Melee, 1 Target","Stone Axe is a critical hit on an 18+. Once per scene, on a hit, the target may be put in a Vortex.",Tough - Reliable,Physical,Rock,,o,,,,,,,,
Stone Edge,,,10,EOT,5,"8, 1 Target",Stone Edge is a Critical Hit on 17+.,Tough - Incentives,Physical,Rock,,,,,,,,,,
Tar Shot,,,--,Scene,2,Cone 2,"The target gains a Coat that is automatically expended upon being hit with a Fire Type attack in order to make them one step more vulnerable to that attack. In addition, the target’s Speed is lowered by 1 CS.",Tough - Sabotage,Status,Rock,,,,,,,,,,
Wide Guard,,,--,Scene,--,"Burst 1, Interrupt, Shield, Trigger","If an Ally adjacent to Wide Guard’s user is hit by a Move, you may use Wide Guard as an Interrupt. All targets adjacent to Wide Guard’s user, including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",Tough - Inversed Appeal,Status,Rock,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Anchor Shot,,,8,EOT,2,"Melee, 1 Target",The Target is Trapped for 2 rounds. Anchor Shot may only be used from the user's Anchor Token.,--,Physical,Steel,,o,,,,,,,,
Autotomize,,,--,EOT,--,Self,"For the remainder of the Encounter, the user’s Weight Class is one value lower, to a minimum of 1. If the user can, the user’s Speed is raised by +2 Combat Stages.",Smart - Get Ready!,Status,Steel,,,,,,,,,,
Behemoth Bash,,,10,Scene x2,2,"Melee, 1 Target","The DB of Behemoth Bash increases by +2 for each positive CS the target has, to a maximum of DB 20.",Tough - Steady Performance,Physical,Steel,,o,,,,,,,,
Behemoth Blade,,,10,Scene x2,2,"Melee, 1 Target","The DB of Behemoth Blade increases by +2 for each positive CS the target has, to a maximum of DB 20.",Cool - Good Show,Physical,Steel,,o,,,,,,,,
Bullet Punch,,,4,At-Will,2,"Melee, 1 Target, Priority",--,Smart - Saving Grace,Physical,Steel,,o,o,,o,,,,,
Doom Desire,,,14,Scene x2,--,"10, 1 Target","Doom Desire does nothing on the turn it is used. At the end of the user's next turn, Doom Desire hits, even if the user if no longer on the field. Doom Desire cannot miss.",Cool - Exhausting Act,Special,Steel,,,,,,,,,,
Double Iron Bash,,,6,Scene x2,2,"Melee, 1 Target, Double Strike",Double Iron Bash Flinches the targets on 15+.,Tough - Reliable,Physical,Steel,o,o,o,,o,,,,,
Flash Cannon,,,8,EOT,2,"6, 1 Target",Flash Cannon lowers the target's Special Defense by -1 CS on 17+.,Smart - Exhausting Act,Special,Steel,o,,,,,,,,,
Gear Grind,,,5,EOT,3,"Melee, 1 Target, Double Strike",--,Cool - Reliable,Physical,Steel,,o,o,,,,,,,
Gear Up,,,--,Scene x2,--,Burst 4,All targets with the Plus or Minus Abilities receive +1 Attack and Special Attack Combat Stages.,Smart - Get Ready!,Status,Steel,,,,,,,,,,
Gear Up [SS],,,--,Scene x2,--,Burst 4,All targets that are Steel-Typed receive +1 Attack and Special Attack Combat Stages,Smart - Get Ready!,Status,Steel,,,,,,,,,,
Gyro Ball,,,6,Scene x2,2,"6, 1 Target","The target reveals their Speed Stat (including Combat Stages). If it is higher than the user’s (including Combat Stages), subtract the user’s Speed Stat from the target’s and apply the difference as Bonus Damage.",Beauty - Double Time,Physical,Steel,,,o,,,,,,,
Heavy Slam,,,4,EOT,2,"Melee, 1 Target","For each weight class the user is above the target, increase Heavy Slam's Damage Base by +2.",Tough - Incentives,Physical,Steel,,o,o,,,,,,,
Iron Defense,,,--,EOT,--,Self,Raise the user's Defense by +2 CS.,Tough - Sabotage,Status,Steel,,,,,,,,,,
Iron Head,,,8,EOT,2,"Melee, 1 Target, Dash",Iron Head Flinches the target on 15+.,Tough - Desperation,Physical,Steel,o,o,,,,,,,,
Iron Tail,,,10,Scene x2,6,"Melee, 1 Target, Smite",Iron Tail lowers the target’s Defense by -1 CS on 19+.,Cool - Desperation,Physical,Steel,o,o,,,,,,,,
King's Shield,,,--,Scene,--," Self, Interrupt, Shield, Trigger"," If the user is hit by an attack, the user may use King’s Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker’s Attack is lowered by -2 CS.",Cool - Inversed Appeal,Status,Steel,,,,,,,,,,
Magnet Bomb,,,6,EOT,--,"8, 1 Target",Magnet Bomb cannot miss. *Grants Magnetic,Cool - Steady Performance,Physical,Steel,,,o,,,,,,,
Metal Burst,,,See Effect,Scene,--,Burst 1,Metal Burst causes all legal targets in the burst to lose HP equal to the total amount of direct Damage the user has taken since the beginning of this Round. Metal Burst cannot miss.,Beauty - Double Time,Physical,Steel,,,,,,,,,,
Metal Claw,,,5,At-Will,3,"Melee, 1 Target, Spirit Surge",Raise the user's Attack by +1 CS on 18+.,Cool - Incentives,Physical,Steel,o,o,o,,,,,,,
Metal Sound,,,--,EOT,4,"Burst 2, Friendly, Sonic",All Legal Targets have their Special Defense lowered by -2 CS.,Smart - Unsettling,Status,Steel,,,,,,,,o,,
Meteor Mash,,,9,EOT,4,"Melee, 1 Target, Dash, Spirit Surge",Raise the user's Attack by +1 CS on 15+.,Cool - Desperation,Physical,Steel,o,o,,,o,,,,,
Mirror Shot,,,7,EOT,5,"6, Ranged Blast 2",All Legal Targets have their Accuracy lowered by -2 on 16+.,Cute - Exhausting Act,Special,Steel,o,,,,,,,,,
Shelter,,,--,Scene,--,Self,"The user gains +1 CS in Defense and Special Defense, and +2 Evasion.",Tough - Sabotage,Status,Steel,,,,,,,,,,
Shift Gear,,,--,Scene x2,--,Self,Raise the user’s Attack by +1 CS and Speed by +2 CS.,Smart - Get Ready!,Status,Steel,,,,,,,,,,
Smart Strike,,,7,EOT,2,"Melee, 1 Target",Smart Strike cannot miss.,--,Physical,Steel,,o,,,,,,,,
Steel Beam,,,14,Daily,3,"Cone 3, Smite",The user’s Hit Points are reduced by 50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way.,Smart - Big Show,Special,Steel,,,,,,,,,,
Steel Roller,,,13,Daily,2,"Melee, Pass, Dash, Smite, Spirit Surge","Legal targets hit by Steel Roller are Tripped on a roll of 15+. Any Hazards in spaces Passed through or adjacent to those spaces are removed (they are removed before they can affect the user). If the user moves through an area of Terrain, or a Field-range Terrain is active, those effects immediately end. ",Tough - Steady Performance,Physical,Steel,,o,,,,,,,,
Steel Wing,,,7,At-Will,3,"Melee, Pass, Spirit Surge",Steel Wing raises the user's Defense by +1 CS on 15+.,Cool - Steady Performance,Physical,Steel,o,o,,,,,,,,
Sunsteel Strike,,,10,Scene x2,2,Close Blast 2,"This Move ignores any Abilities that would cause it to fail or miss; those Abilities cannot be activated in response to Sunsteel Strike (ex: Dodge, Wonder Guard)",--,Physical,Steel,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Aqua Jet,,,4,At-Will,2,"Melee, 1 Target, Priority",--,Beauty - Saving Grace,Physical,Water,,o,o,,,,,,,
Aqua Ring,,,--,Scene,--,"Self, Coat",Aqua Ring covers the user in a Coat that heals the user at the beginning of their turn. The user is healed a Tick of Hit Points each turn.,Beauty - Safe Option,Status,Water,,,,,,,,,,
Aqua Tail,,,9,EOT,4,"Melee, Pass",--,Cute - Steady Performance,Physical,Water,,o,,,,,,,,
Brine,,,7,Scene x2,2,"6,  1 Target","If the target’s Hit Points are under 50%, Brine’s Damage Base is increased to Damage Base 13 (4d10+10 / 35).",Smart - Incentives,Special,Water,,,,,,,,,,
Bubble,,,4,At-Will,2,Burst 1,Bubble lowers the target's Speed by -1 CS on 16+..,Cute - Desperation,Special,Water,o,,o,,,,,,,
Bubblebeam,,,8,At-Will,2,"4, 1 Target",Bubblebeam lowers the target's Speed by -1 CS on 18+.,Beauty - Desperation,Special,Water,o,,,,,,,,,
Clamp,,,--,Static,--,--,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",Tough - Steady Performance,Static,Water,,,,,,,,,,
Crabhammer,,,10,EOT,4,"Melee, 1 Target",Crabhammer is a Critical Hit on 18+.,Tough - Exhausting Act,Physical,Water,,o,,,,,,,,
Dive,,,8,Scene x2,2,"Burst 1, Set Up, Full Action","Set-Up Effect: The user moves underwater and its turn ends. The user must be in water at least 10 meters deep to use Dive. While underwater, the user may not be targeted by Moves. Resolution Effect: The user may shift horizontally using their underwater speed, and then may shift straight up until reaching a target. The user then attacks with Dive, creating a Burst 1. *Grants Swim +3",Beauty -  Special Attention,Physical,Water,,,,,,,,,,
Fishious Rend,,,9,Scene x2,2,"Melee, 1 Target","Against targets with a lower initiative that have not yet acted this round, Fishious Rend deals +10 damage.",Cool - Catching Up,Physical,Water,,o,,,,,,,,
Flip Turn,,,6,At-Will,2,"Melee, 1 Target, Dash","If Flip Turn successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using Flip Turn lets a Trapped user be recalled.",Cool - Inversed Appeal,Physical,Water,,o,o,,,,,,,
Hydro Cannon,,,15,Daily x2,4,"Line 9, Smite, Exhaust",--,Beauty - Seen Nothing Yet,Special,Water,,,,,,,,,,o
Hydro Pump,,,11,Scene x2,4,"6, 1 Target, Push",The target is pushed away from the user 3 meters.,Beauty - Exhausting Act,Special,Water,,,,,,,,,,
Life Dew,,,--,Daily x2,--,"Burst 1, Healing",The user and all allies in the burst regain Hit Points equal to 1/4 of their Maximum Hit Points.,Beauty - Saving Grace,Status,Water,,,,,,,,,,
Liquidation,,,9,EOT,2,"Melee, 1 Target",The target's Defense is lowered by -1 CS on 17+.,--,Physical,Water,o,o,,,,,,,,
Muddy Water,,,9,EOT,5,Close Blast 2,"As a Shift Action, the user may Move to any open square in Muddy Water’s area of effect without provoking any Attacks of Opportunity. On 16+, the Accuracy of all targets is lowered by 1.",Tough - Desperation,Special,Water,o,,,,,,,,,
Octazooka,,,7,At-Will,3,"6,  1 Target",Octazooka lowers the target's Accuracy by -1 on an Even-Numbered Roll.,Tough - Incentives,Special,Water,o,,,,,,,,,
Origin Pulse,,,12,Scene x2,5,"Close Blast 3, Smite",--,Beauty - Desperation,Special,Water,,,,,,,,,,
Rain Dance,,,--,Daily x2,--,"Field, Weather","The weather becomes Rainy for 5 rounds. While Rainy, Water-Type Attacks gain a +5 bonus to Damage Rolls, and Fire-Type Attacks suffer a -5 Damage penalty.",Tough - Sabotage,Status,Water,,,,,,,,,,
Razor Shell,,,8,EOT,3,"Melee, 1 Target, Dash",Razor Shell lowers the target's Defense by -1 CS on an Even-Numbered Roll.,Cool - Steady Performance,Physical,Water,o,o,,,,,,,,
Scald,,,8,Scene x2,2,"5, 1 Target",Scald Burns the target on 15+.,Smart - Steady Performance,Special,Water,o,,,,,,,,,
Snipe Shot,,,8,EOT,2,"8, 1 Target","Snipe Shot is a Critical Hit on 18+. This Move may not be Intercepted, nor may any Abilities, Moves, or Features be activated to change this Move’s target. Any of those existing effects (such as Follow Me) fail.",Beauty - Reliable,Special,Water,,,,,,,,,,
Soak,,,--,Daily,2,"5, 1 Target",The target gains the Water type in addition to its other Types for 5 turns.,Beauty - Safe Option,Status,Water,,,,,,,,,,
Sparkling Aria,,,9,EOT,2,"Melee, 2 Targets","When you hit a target with Sparkling Aria, the user may choose to deal no damage and instead cures that target of Burn, Confusion, Infatuation, Rage, or Provocation.",--,Special,Water,,o,,,,,,,,
Steam Eruption,,,11,Scene,3,"Close Blast 3, Smite",Steam Eruption Burns all legal targets on a 15+.,--,Special,Water,o,,,,,,,,,
Surf,,,9,EOT,2,Line 6,"As a Shift Action, the user may Move to any open square in Surf ’s area of effect without provoking any Attacks of Opportunity.",Beauty - Exhausting Act,Special,Water,,,,,,,,,,
Surging Strikes,,,3,EOT,2,"Melee, 1 Target","If Surging Strikes hits, it is a Critical Hit. After attacking with Surging Strikes, hit or miss, the user may Shift 2m, ignoring Attacks of Opportunity from their target. It may then make an additional attack with this Move on a different target. This effect may be repeated a second time, the third attack targeting a creature that has not yet been targeted by either prior attack. Before making each attack roll, the user can elect to give up triggering all remaining additional shifts and attacks. Surging Strikes gains +3 DB for each attack that is given up.",Cool - Special Attention,Physical,Water,,o,o,,,,,,,
Water Gun,,,4,At-Will,2,"4, 1 Target",*Grants Fountain,Cute - Steady Performance,Special,Water,,,o,,,,,,,
Water Pledge,,,8,Scene x2,2,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Grass Pledge, you may use Water Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, a Rainbow is created that lasts for 5 rounds. If used in conjunction with Grass Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",Beauty - Safe Option,Special,Water,,,,,,,,,,
Water Pulse,,,6,At-Will,2,"8, 1 Target, Aura",Water Pulse Confuses the target on 17+.,Beauty - Exhausting Act,Special,Water,o,,o,,,o,o,,,
Water Shuriken,,,2,EOT,2," 6, 1 Target, Five Strike, Priority",--,Cool - Reliable,Physical,Water,,,o,,,,,,,
Water Shuriken [SM],,,2,EOT,2," 6, 1 Target, Five Strike, Priority",--,Cool - Reliable,Special,Water,,,o,,,,,,,
